GENESIS-Tabelle: 51000-22i
Aus- und Einfuhr nach Gruppen (247) des;;;;;;
Güterverzeichnisses der Produktionsstatistiken GP 2019;;;;;;
- Land - Jahr (ab 2008);;;;;;
Außenhandel;;;;;;
Nordrhein-Westfalen;;;;;;
;;;Ausfuhr: Gewicht;Ausfuhr;Einfuhr: Gewicht;Einfuhr
;;;t;Tsd. EUR;t;Tsd. EUR
2018;1413;Sonstige Oberbekleidung;80719;150283;176718;3600671
2018;1414;Wäsche;3282;93477;116662;2402996
2018;1419;Bekleidung und Bekleidungszubehör, a.n.g.;2989;87465;55631;941720
2018;1420;Pelzwaren;3;791;214;6702
2018;1431;Strumpfwaren;1978;102773;27498;376293
2018;1439;Bekleidung a.n.g., aus Gewirken oder Gestricken;844;28821;54927;1130790
2018;1511;Leder u. -faserstoff, zuger. u. gefärbte Felle;5213;168922;7106;124995
2018;1512;Lederwaren (ohne Lederbekleidung und Schuhe);7664;186140;59147;763917
2018;1520;Schuhe;12432;465336;94691;2051255
2018;1610;Holz, gesägt und gehobelt;756234;236156;633789;230828
2018;1621;Furnier-, Sperrholz-, Holzfaser-, Holzspanplatten;663284;496589;955812;539857
2018;1622;Parkettböden;10400;35758;27704;76379
2018;1623;Holzkonstruktionen, -bauteile, -fertigteilbauten;37272;110413;68809;98066
2018;1624;Holzverpackungen, Holzbehälter, Holzladungsträger;131314;56704;355804;120340
2018;1629;Holzwaren a.n.g., Kork-, Flecht-, Korbmacherwaren;12996;50547;198141;368098
2018;1711;Holz- und Zellstoff;178920;102696;634841;394833
2018;1712;Papier und Pappe;2293231;2022134;1917144;1651365
2018;1721;Wellpapier und -pappe, Verpackungsmittel;480383;841028;130222;261163
2018;1722;Haushalts-, Hygiene- und Toilettenartikel;227298;463213;198881;415534
2018;1723;Schreibwaren u. Bürobedarf aus Papier,Karton,Pappe;25011;57974;33934;107165
2018;1724;Tapeten;18676;69614;1538;9587
2018;1729;Andere Waren aus Papier, Karton und Pappe;52373;170306;66730;204017
2018;1910;Kokereierzeugnisse;400722;180065;1472174;423497
2018;1920;Mineralölerzeugnisse;4769757;2332905;17823762;9749673
2018;2011;Industriegase;146154;50997;264925;106518
2018;2012;Farbstoffe und Pigmente;586997;1360875;200268;571729
2018;2013;Sonstige anorganische Grundstoffe und Chemikalien;4693708;1686590;1955316;996577
2018;2014;Sonstige organische Grundstoffe und Chemikalien;6814476;9358618;5474443;5680243
2018;2015;Düngemittel und Stickstoffverbindungen;498334;201724;815216;184711
2018;2016;Kunststoffe, in Primärformen;4776410;8837828;2737702;4794169
2018;2017;Synthetischer Kautschuk, in Primärformen;398605;713390;69675;164102
2018;2020;Schädlingsbekämpfungs- und Pflanzenschutzmittel;72823;713140;64086;438206
2018;2030;Anstrichmittel, Druckfarben und Kitte;648288;1758294;194472;614547
2018;2041;Seifen, Wasch-, Reinigungs- und Poliermittel;738554;1385927;542784;859588
2018;2042;Körperpflegemittel und Duftstoffe;154550;889961;153483;1099886
2018;2051;Pyrotechnische Erzeugnisse;8153;91033;17183;52204
2018;2052;Klebstoffe;195705;409008;59863;234461
2018;2053;Etherische Öle;20260;260346;13591;280964
2018;2059;Sonstige chemische Erzeugnisse, a.n.g.;1762609;3994790;1142107;3743579
2018;2060;Chemiefasern;122326;415895;178748;503281
2018;2110;Pharmazeutische Grundstoffe u.ä. Erzeugnisse;103780;757516;96032;622891
2018;2120;Pharmazeutische Spezialitäten u. pharmaz. Erzeugn.;55132;8971539;44628;8918357
2018;2211;Herstellung und Runderneuerung von Bereifungen;91368;528564;163768;559775
2018;2219;Andere Gummiwaren (ohne Bereifungen);156136;1385226;196595;1234150
2018;2221;Platten,Folien, Schläuche u. Profile aus Kunststo.;690513;2909181;389473;1464214
2018;2222;Verpackungsmittel aus Kunststoffen;306690;1027596;434850;882423
2018;2223;Baubedarfsartikel aus Kunststoffen;114960;538805;275273;621231
2018;2229;Sonstige Kunststoffwaren;254670;2079570;304064;1783500
2018;2311;Flachglas (ohne veredeltes u. bearbeit. Flachglas);768504;348598;124920;62054
2018;2312;Veredeltes und bearbeitetes Flachglas;187099;374727;128379;332412
2018;2313;Hohlglas;218479;163709;138482;200896
2018;2314;Glasfasern und Waren daraus;21218;73164;126316;188292
2018;2319;Sonstiges Glas (einschl. technischer Glaswaren);9268;41165;29685;84971
2018;2320;Feuerfeste keramische Werkstoffe;293398;343256;119438;149522
2018;2331;Keramische Wand-, Bodenfliesen und -platten;62655;46122;301188;174578
2018;2332;Ziegel und sonstige Baukeramik;450356;116277;89036;22763
2018;2341;Keramische Haushaltswaren und Ziergegenstände;14211;35924;62487;152473
2018;2342;Sanitärkeramik;9904;44664;49144;108828
2018;2343;Isolatoren und Isolierteile aus Keramik;37;920;1294;11743
2018;2344;Keramische Waren für sonstige technische Zwecke;2977;118400;5856;74290
2018;2349;Andere keramische Waren, a.n.g.;999;7606;7779;16342
2018;2351;Zement;3411469;235137;304392;68531
2018;2352;Kalk und gebrannter Gips;886164;77006;233919;28001
2018;2361;Erzeugnisse a. Beton,Zement u.Kalksandstein f. Bau;891586;146227;260452;77025
2018;2362;Gipserzeugnisse für den Bau;47227;11126;60088;8807
2018;2363;Frischbeton (Transportbeton);30454;1937;1760;63
2018;2364;Mörtel und anderer Beton, nicht feuerfest;296218;136465;29849;4768
2018;2365;Faserzementwaren;46594;35895;26402;21750
2018;2369;Erzeugnisse aus Beton, Zement und Gips, a.n.g.;125000;26787;47715;35040
2018;2370;Bearbeitete u. verarb. Naturwerk- u. Natursteine;23077;10282;449812;130609
2018;2391;Mühl-,Mahl-,Schleif-,Wetz- u. Poliersteine;12488;169826;20407;278078
2018;2399;Sonstige Erzeugn. aus nichtmet. Mineralien, a.n.g.;276980;622491;275799;501600
2018;2410;Roheisen, Stahl und Ferrolegierungen;6759703;6066835;10630055;9775692
2018;2420;Stahlrohre,Rohrform-,-verschluss- u.-verbind.stück;1714217;3255970;1008455;1480557
2018;2431;Blankstahl;253371;507261;303219;597513
2018;2432;Kaltband, Breite<600mm;1186506;1553297;395981;597400
2018;2433;Kaltprofile;113045;186365;79661;124428
2018;2434;Kaltgezogener Draht;233684;423573;269095;425081
2018;2441;Edelmetalle und Halbzeug daraus;143;260600;66;113961
2018;2442;Aluminium und Halbzeug daraus;1343132;3961965;2295520;3988495
2018;2443;Blei, Zink und Zinn und Halbzeug daraus;123319;391404;272158;825895
2018;2444;Kupfer und Halbzeug daraus;367569;2707819;308272;1875789
2018;2445;Sonstige NE-Metalle und Halbzeug daraus;77214;972330;135909;1370910
2018;2446;Kernbrennstoffe;160;6843;6789;256777
2018;2451;Eisengießereierzeugnisse;1387;8406;15515;39046
2018;2452;Stahlgießereierzeugnisse;948;12594;2137;20982
2018;2511;Metallkonstruktionen;413542;1057523;348557;784923
2018;2512;Ausbauelemente aus Stahl und Aluminium;51020;292526;40689;96876
2018;2521;Heizkörper u. -kessel für Zentralheizungen, Teile;21936;254712;42094;353962
2018;2529;Sonstige Metallbehälter, Fassungsvermögen>300l;43083;137171;31373;97774
2018;2530;Dampfkessel (-erzeuger), Kernreaktoren, Teile;9095;130306;2499;13254
2018;2540;Waffen und Munition, Teile dafür;630;43963;4093;53357
2018;2571;Schneidwaren und Bestecke, aus unedlen Metallen;5950;256809;15941;212308
2018;2572;Schlösser und Beschläge, aus unedlen Metallen;268208;2058489;171565;1072341
2018;2573;Werkzeuge;58395;1426086;83173;1201776
2018;2591;Metallbehälter, Fassungsvermögen<=300l;53266;207642;19802;55337
2018;2592;Verpackungen und Verschlüsse, aus Eisen, Stahl;43381;214501;38228;174619
2018;2593;Drahtwaren, Ketten und Federn;277574;976672;234558;450873
2018;2594;Schrauben und Nieten;251404;1479307;329305;983400
2018;2599;Andere Metallwaren, a.n.g.;502773;2248189;496910;2011141
2018;2611;Elektronische Bauelemente;7251;1429415;13062;2715941
2018;2612;Bestückte Leiterplatten;1460;136419;6374;324654
2018;2620;Datenverarbeitungsgeräte und periphere Geräte;44480;1927427;200815;8143704
2018;2630;Geräte u. Einricht. d. Telekommunikationstechnik;9671;1259708;27300;4917401
2018;2640;Geräte der Unterhaltungselektronik;8538;386913;51473;1646593
2018;2651;Mess-,Kontroll-,Navigations- u.ä. Instr. u. Vorr.;27470;3306649;30563;2497730
2018;2652;Uhren;327;73907;3457;420791
2018;2660;Bestrahlungs-,Elektrotherapie-,elektromed. Geräte;2259;179394;4114;465951
2018;2670;Optische und fotografische Instrumente und Geräte;4264;800091;5550;891886
2018;2680;Magnetische und optische Datenträger;1558;15607;1497;37579
2018;2711;Elektromotoren,Generatoren,Transformatoren,Teile;72366;1644242;174590;2051058
2018;2712;Elektrizitätsverteilungs- und -schalteinrichtungen;46148;2319857;52532;1723730
2018;2720;Akkumulatoren und Batterien;51403;242952;71982;459257
2018;2731;Glasfaserkabel;4776;55602;4805;88940
2018;2732;Sonstige elektronische und elektrische Kabel;121130;1275615;87552;748255
2018;2733;Elektrisches Installationsmaterial;60357;2238756;43795;1337396
2018;2740;Elektrische Lampen und Leuchten;23628;1034573;117743;1628416
2018;2751;Elektrische Haushaltsgeräte, Teile dafür;135030;1547636;351805;2362400
2018;2752;Nicht elektrische Haushaltsgeräte, Teile dafür;10594;91796;36858;195204
2018;2790;Sonstige elektr. Ausrüstungen und Geräte a.n.g.;44419;1124578;49514;945862
2018;2811;Verbrennungsmotoren und Turbinen;317865;2643164;70974;754006
2018;2812;Hydraulische, pneumatische Komponenten und Systeme;26747;769138;19352;429099
2018;2813;Sonstige Pumpen und Kompressoren;116764;2567822;84176;1103567
2018;2814;Armaturen;78119;2095119;97876;1363916
2018;2815;Lager, Getriebe, Zahnräder und Antriebselemente;255607;3136150;221535;1624436
2018;2821;Öfen und Brenner, Teile dafür;25304;533604;16883;124886
2018;2822;Hebezeuge und Fördermittel;225004;1883202;164836;911126
2018;2823;Büromaschinen;8955;418660;37017;1981114
2018;2824;Handgeführte, kraftbetrieb. Werkzeuge, Teile dafür;3698;184029;20750;320498
2018;2825;Kälte- u. lufttechn. Erzeugn. für gewerbl. Zwecke;64423;1107069;115017;1474603
2018;2829;Sonstige nicht wirtschaftszweigspezif. Maschinen;158706;3641218;95950;1318620
2018;2830;Maschinen für die Landwirtschaft, Forstwirtschaft;162111;1630439;89153;564373
2018;2841;Werkzeugmaschinen f.d. Metallbearbeitung, Teile;67632;1575400;48776;641685
2018;2849;Werkzeugmaschinen a.n.g., -teile, -zubehör;47622;864756;16015;215397
2018;2891;Masch. f.d. Metallerzg.,Walzwerkseinr., Gießmasch.;68042;414145;24001;118070
2018;2892;Bergwerks-, Bau- u. Baustoffmaschinen, Teile dafür;197309;1705151;182931;878746
2018;2893;Masch.f.Nahrungs-,Futterm.-,Getränkeh.,Tabakv., T.;13881;465125;10264;179475
2018;2894;Masch. f.Textil-,Bekleidungsh.,Ledererzg.,-verarb.;83783;1613913;31863;300056
2018;2895;Maschinen f.d. Papiererzeugung und -verarbeitung;24595;460215;6472;111399
2018;2896;Maschinen f. Kunststo.-,Gummierzeug.,-verarbeitung;39360;1241268;19259;293599
2018;2899;Maschinen f. sonst. best. Wirtschaftszweige a.n.g.;108002;2592010;76565;1083093
2018;2910;Kraftwagen und Kraftwagenmotoren;759864;7357590;1433287;16340142
2018;2920;Karosserien, Aufbauten und Anhänger;509689;2353753;314564;839964
2018;2931;Elektr.,elektron. Ausrüstungen für Motoren a.n.g.;14013;347257;45713;872407
2018;2932;Andere Teile und anderes Zubehör für Kraftwagen;1226127;7064752;695370;4152436
2018;3011;Schiffe (ohne Boote und Yachten);6769;39071;11102;13889
2018;3012;Boote und Yachten;787;11828;1214;20981
2018;3020;Schienenfahrzeuge;104058;1483343;69676;502757
2018;3030;Luft- und Raumfahrzeuge;6303;541888;1949;633954
2018;3040;Militärische Kampffahrzeuge;-;-;-;-
2018;3091;Krafträder;3758;114509;15969;408669
2018;3092;Fahrräder und Behindertenfahrzeuge;8625;96931;34412;512489
2018;3099;Fahrzeuge, a.n.g.;8632;37372;8423;27608
2018;3100;Sitzmöbel und Teile dafür, Teile für Möbel;210746;742508;586251;1797274
2018;3101;Büromöbel, Ladenmöbel aus Holz;20072;162657;45249;117711
2018;3102;Küchenmöbel aus Holz;301946;1435896;26582;29662
2018;3103;Matratzen;10200;54106;38414;141015
2018;3109;Sonstige Möbel;85224;349857;473323;995127
2018;3511;Elektrischer Strom;0;852501;0;226818
2018;3521;Industriell erzeugte Gase;-;-;-;-
2018;8900;Sonstige Waren;8643464;12304978;15798606;23877175
2018;8988;Sperrungen in der Außenhandelsstatistik;-;-;-;-
2018;;Insgesamt;100912652;196259183;203551041;241611820
2017;0111;Getreide (ohne Reis), Hülsenfrüchte und Ölsaaten;816233;200685;4442610;1603389
2017;0112;Reis;-;-;2154;1708
2017;0113;Gemüse und Melonen sowie Wurzeln und Knollen;1094446;203778;1388925;1608632
2017;0114;Zuckerrohr;-;-;3;7
2017;0115;Tabak;0;0;810;49526
2017;0116;Faserpflanzen;20;42;10165;13932
2017;0119;Sonstige einjährige Pflanzen;47837;102001;141978;553805
2017;0121;Wein- und Tafeltrauben;2320;4662;75814;143994
2017;0122;Tropische und subtropische Früchte;-;-;263781;262546
2017;0123;Zitrusfrüchte;-;-;299209;277801
2017;0124;Kern- und Steinobst;3880;5242;340579;379880
2017;0125;Sonstiges Baum- und Strauchobst und Nüsse;15817;117090;191261;748572
2017;0126;Ölhaltige Früchte;317;1053;2764;5153
2017;0127;Pflanzen zur Herstellung von Getränken;-;-;27805;79042
2017;0128;Gewürzpflanzen, Pflanzen für z.B. pharmaz. Zwecke;2080;15173;18768;64622
2017;0129;Sonstige mehrjährige Pflanzen;4612;3933;24063;23750
2017;0130;Baumschulerzeugnisse,Pflanzen z.Vermehrungszweck.;120400;324294;316681;679085
2017;0141;Kühe und Färsen, lebend;16594;54644;4002;9534
2017;0142;Sonstige Rinder und Büffel, lebend, Sperma;17367;56332;3423;11593
2017;0143;Pferde und Esel, lebend;316;26962;134;5785
2017;0144;Kamele und Kamelartige, lebend;-;-;-;-
2017;0145;Schafe und Ziegen, lebend;1;3;9;86
2017;0146;Schweine, lebend;26213;60264;282293;502751
2017;0147;Geflügel, lebend, sowie Eier;167083;141417;151095;240036
2017;0149;Sonstige Nutztiere und tierische Erzeugnisse;2551;10754;3160;28396
2017;0210;Waldbestand sowie Erzeugnisse von Forstbaumschulen;11;45;125;380
2017;0220;Rohholz;460094;42949;307888;41840
2017;0230;Wildwachsende Produkte (ohne Holz);5190;16264;21154;66908
2017;0300;Fische u. Fischereierzeugnisse, Aquakulturerzeug.;840;5191;12530;58442
2017;0510;Steinkohle;195534;36246;18222041;2265154
2017;0520;Braunkohle;684832;55494;5474;287
2017;0610;Erdöl;0;0;26628738;9403512
2017;0620;Erdgas, verflüssigt oder gasförmig;119;69;25847716;6032867
2017;0710;Eisenerze;48067;2482;22072742;1604736
2017;0721;Uran- und Thoriumerze;-;-;-;-
2017;0729;NE-Metallerze (ohne Uran- und Thoriumerze);92254;59521;972159;720417
2017;0811;Natur-,-werk-, Kalk-, Gipssteine, Kreide, Schiefer;163984;12597;502330;17086
2017;0812;Kies, Sand, Ton und Kaolin;13541265;141376;1540306;124716
2017;0891;Chemische und Düngemittelminerale;273519;35459;289583;45239
2017;0892;Torf;30332;4504;349721;30065
2017;0893;Salz, reines Natriumchlorid (ohne Speisesalz);1311329;46659;2092986;87088
2017;0899;Steine, Erden, a.n.g., sonstige Bergbauerzeugnisse;573500;37655;627314;123378
2017;1011;Fleisch (ohne Geflügel);1570871;2820314;614540;1468726
2017;1012;Geflügelfleisch;57213;72745;182803;397700
2017;1013;Verarbeitetes Fleisch;271221;770478;145620;519046
2017;1020;Fischerzeugnisse und andere Meeresfrüchte;38567;118371;91098;538522
2017;1031;Verarbeitete Kartoffeln und Kartoffelerzeugnisse;17302;31398;157714;166997
2017;1032;Frucht- u.Gemüsesäfte,n. gegoren,oh. Alkoholzusatz;254119;190765;334455;346139
2017;1039;Verarbeitetes Obst und Gemüse, a.n.g.;380213;526503;700676;906547
2017;1041;Öle und Fette (ohne Margarine und Nahrungsfette);1718538;963031;1880350;1494673
2017;1042;Margarine und Nahrungsfette;87753;105322;44930;56640
2017;1051;Milch und Milcherzeugnisse (ohne Speiseeis);931356;805442;569758;1346548
2017;1052;Speiseeis;48276;108627;27074;64112
2017;1061;Mahlerzeugnisse und Schälmühlenerzeugnisse;604148;248368;402607;260867
2017;1062;Stärke und Stärkeerzeugnisse;1186104;325883;876302;302087
2017;1071;Backwaren (ohne Dauerbackwaren);196382;333750;133579;262277
2017;1072;Dauerbackwaren;161012;437689;158187;403884
2017;1073;Teigwaren;4001;6688;39977;45020
2017;1081;Zucker;402277;143708;227507;106900
2017;1082;Süßwaren (ohne Dauerbackwaren);331334;1243303;282009;1076220
2017;1083;Kaffee und Tee, Kaffee-Ersatz;39012;251925;44439;378705
2017;1084;Würzen und Soßen;100231;112734;129010;164854
2017;1085;Fertiggerichte;100328;337186;75014;190645
2017;1086;Homogenisierte Nahrungsmittelzubereitungen;18090;153339;29342;135649
2017;1089;Sonstige Nahrungsmittel, a.n.g.;155674;342030;84234;364796
2017;1091;Futtermittel für Nutztiere;412730;177325;592228;262095
2017;1092;Futtermittel für sonstige Tiere, zubereitet;191934;314633;144407;258233
2017;1101;Spirituosen;4993;14588;76885;298006
2017;1102;Traubenwein;9053;17115;171310;358264
2017;1103;Apfelwein u. Fruchtweine, alkoholh. Mischgetränke;12894;10650;8358;7113
2017;1104;Wermutwein und andere aromatisierte Weine;222;379;1121;1188
2017;1105;Bier;268210;124128;106314;55798
2017;1106;Malz;84972;33592;40178;15003
2017;1107;Erfrischungsgetränke, natürliches Mineralwasser;2430253;288931;266709;122337
2017;1200;Tabakerzeugnisse;2668;130235;8962;152293
2017;1310;Textile Spinnstoffe und Garne;26680;53506;86287;202020
2017;1320;Gewebe;42140;439182;78229;549725
2017;1391;Gewirke und Gestricke;5435;88954;12385;83702
2017;1392;Konfektionierte Textilwaren (ohne Bekleidung);30726;319736;231116;1441256
2017;1393;Teppiche und textile Fußbodenbeläge;18890;103835;89953;320330
2017;1394;Seilerwaren;6570;26359;23533;48159
2017;1395;Vliesstoffe und Vliesstofferzeugnisse;96692;459841;73308;234265
2017;1396;Technische Textilien;70497;654416;32872;311660
2017;1399;Sonstige Textilwaren, a.n.g.;16036;45817;10306;46522
2017;1411;Bekleidung aus Leder oder rekonstituiertem Leder;71;5632;1176;62116
2017;1412;Arbeitsbekleidung und Berufsbekleidung;214;11114;6621;135781
2017;1413;Sonstige Oberbekleidung;78711;169125;169558;3639443
2017;1414;Wäsche;2006;75634;120152;2549760
2017;1419;Bekleidung und Bekleidungszubehör, a.n.g.;3463;86237;54571;942912
2017;1420;Pelzwaren;2;1101;299;8305
2017;1431;Strumpfwaren;2537;98731;27811;396577
2017;1439;Bekleidung a.n.g., aus Gewirken oder Gestricken;656;27963;56306;1185579
2017;1511;Leder u. -faserstoff, zuger. u. gefärbte Felle;5289;160500;7595;126627
2017;1512;Lederwaren (ohne Lederbekleidung und Schuhe);7716;215507;57210;794091
2017;1520;Schuhe;11051;398123;100547;2165823
2017;1610;Holz, gesägt und gehobelt;650487;204770;572698;217113
2017;1621;Furnier-, Sperrholz-, Holzfaser-, Holzspanplatten;707305;496049;928617;505159
2017;1622;Parkettböden;11159;36198;27275;72697
2017;1623;Holzkonstruktionen, -bauteile, -fertigteilbauten;34415;105651;62601;87867
2017;1624;Holzverpackungen, Holzbehälter, Holzladungsträger;134986;55414;329253;110464
2017;1629;Holzwaren a.n.g., Kork-, Flecht-, Korbmacherwaren;11048;48316;181117;341941
2017;1711;Holz- und Zellstoff;207905;100848;652387;335218
2017;1712;Papier und Pappe;2363913;1932799;1860217;1554219
2017;1721;Wellpapier und -pappe, Verpackungsmittel;506475;857032;135230;256290
2017;1722;Haushalts-, Hygiene- und Toilettenartikel;216328;440208;218633;471648
2017;1723;Schreibwaren u. Bürobedarf aus Papier,Karton,Pappe;24504;62819;32343;111462
2017;1724;Tapeten;21228;77435;1869;11701
2017;1729;Andere Waren aus Papier, Karton und Pappe;51287;165327;68084;208781
2017;1910;Kokereierzeugnisse;423621;145752;1361326;318564
2017;1920;Mineralölerzeugnisse;5656095;2331642;16001091;7108670
2017;2011;Industriegase;138675;44213;224938;108169
2017;2012;Farbstoffe und Pigmente;690001;1400631;229006;577949
2017;2013;Sonstige anorganische Grundstoffe und Chemikalien;4257299;1594000;1976267;940764
2017;2014;Sonstige organische Grundstoffe und Chemikalien;7538182;9418628;5273149;5200385
2017;2015;Düngemittel und Stickstoffverbindungen;507880;193597;941517;200000
2017;2016;Kunststoffe, in Primärformen;4997682;8754483;2731801;4582486
2017;2017;Synthetischer Kautschuk, in Primärformen;414830;749466;87117;206055
2017;2020;Schädlingsbekämpfungs- und Pflanzenschutzmittel;68984;669840;65632;509255
2017;2030;Anstrichmittel, Druckfarben und Kitte;665036;2093747;213577;1597399
2017;2041;Seifen, Wasch-, Reinigungs- und Poliermittel;802787;1456049;513117;785383
2017;2042;Körperpflegemittel und Duftstoffe;155951;797632;139906;1100671
2017;2051;Pyrotechnische Erzeugnisse;9016;62618;18549;54738
2017;2052;Klebstoffe;189337;395537;71892;282031
2017;2053;Etherische Öle;19326;245799;12453;248713
2017;2059;Sonstige chemische Erzeugnisse, a.n.g.;1710030;3472655;1080509;2726454
